"CalculationRule.Name","CalculationRule.Description","CalculationRule.ID","CalculationRule.Path","CalculationRule.Definition","CalculationRule.FormulaNumber","CalculationRule.InternalId","CalculationRule.Parent","CalculationRule.ObjectType","CalcConfigSet.InternalId","CalcConfigSet.Name","CalculationRule.CalculationRuleMemberOfCalcConfigSet.CalcConfigSet.ID","CalcConfigSet.Parent","CalcConfigSet.ObjectType","FormalOperand.InternalId","FormalOperand.Name","CalculationRule.FormalOperandMemberOfCalculationRule.FormalOperand.ID","FormalOperand.Parent","FormalOperand.ObjectType","RealtimeCalculation.Path","RealtimeCalculation.InternalId","RealtimeCalculation.Name","CalculationRule.RealtimeCalculationAssociatedWithCalculationRule.RealtimeCalculation.ID","RealtimeCalculation.Parent","RealtimeCalculation.ObjectType","TypifiedCalculation.Path","TypifiedCalculation.InternalId","TypifiedCalculation.Name","CalculationRule.TypifiedCalculationAssociatedWithCalculationRule.TypifiedCalculation.ID","TypifiedCalculation.Parent","TypifiedCalculation.ObjectType","Domain.Path","Domain.InternalId","Domain.Name","CalculationRule.TL_ElemToB1.Domain.ID","Domain.Parent","Domain.ObjectType","Domain.Path","Domain.InternalId","Domain.Name","CalculationRule.TL_B2ToB1.Domain.ID","Domain.Parent","Domain.ObjectType","sysRdfContainer.Path","sysRdfContainer.InternalId","sysRdfContainer.Name","CalculationRule.sysRdfContainerHasADomain.sysRdfContainer.ID","sysRdfContainer.Parent","sysRdfContainer.ObjectType","Domain.Path","Domain.InternalId","Domain.Name","CalculationRule.TL_ElemToB2.Domain.ID","Domain.Parent","Domain.ObjectType","Domain.Path","Domain.InternalId","Domain.Name","CalculationRule.TL_ElemToB3.Domain.ID","Domain.Parent","Domain.ObjectType","Percentage.Path","Percentage.InternalId","Percentage.Name","CalculationRule.DomainHasAssignedPercentage.Percentage.ID","Percentage.Parent","Percentage.ObjectType","Domain.Path","Domain.InternalId","Domain.Name","CalculationRule.TL_InfoToElem.Domain.ID","Domain.Parent","Domain.ObjectType","Domain.Path","Domain.InternalId","Domain.Name","CalculationRule.TL_ExternalControlAreaToAreaVElem.Domain.ID","Domain.Parent","Domain.ObjectType","Domain.Path","Domain.InternalId","Domain.Name","CalculationRule.TL_ReactiveZoneToZonRMVElem.Domain.ID","Domain.Parent","Domain.ObjectType","Domain.Path","Domain.InternalId","Domain.Name","CalculationRule.TL_TermToElem.Domain.ID","Domain.Parent","Domain.ObjectType","Domain.Path","Domain.InternalId","Domain.Name","CalculationRule.TL_InternalControlAreaToAreaVElem.Domain.ID","Domain.Parent","Domain.ObjectType","Domain.Path","Domain.InternalId","Domain.Name","CalculationRule.TL_B3ToB2.Domain.ID","Domain.Parent","Domain.ObjectType"
"pwr_fail","","_1299f0a5-3b62-4082-85d3-169bb506a2b2",".General - SCADA/.Spectrum Formulas/Formula TPC/pwr_fail","if (a<10) and b then 1 else 0","224","4749846","_9022f0a6-2366-4770-950b-9b79a220248c","CalculationRule","4749845","Formula TPC","_9022f0a6-2366-4770-950b-9b79a220248c","_f654f1d7-859d-41d0-bf8e-7ddfe576f84d","CalcConfigSet","4749848","a","_8af01e0c-782d-4973-b7c5-21026ed05a64","_1299f0a5-3b62-4082-85d3-169bb506a2b2","FormalOperand","Network/Companies/TPC/TC/H07/0/CalcPoint/PWR_FAIL/Status/Calculation","8472442","Calculation","_d7e92c8a-d7c4-4979-bca7-e9a8e15e59a3","_48c21b75-294b-434d-9227-4a083ae04447","RealtimeCalculation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pwr_fail","","_1299f0a5-3b62-4082-85d3-169bb506a2b2",".General - SCADA/.Spectrum Formulas/Formula TPC/pwr_fail","if (a<10) and b then 1 else 0","224","4749846","_9022f0a6-2366-4770-950b-9b79a220248c","CalculationRule","4749845","Formula TPC","_9022f0a6-2366-4770-950b-9b79a220248c","_f654f1d7-859d-41d0-bf8e-7ddfe576f84d","CalcConfigSet","4749848","a","_8af01e0c-782d-4973-b7c5-21026ed05a64","_1299f0a5-3b62-4082-85d3-169bb506a2b2","FormalOperand","Network/Companies/TPC/TC/H03/0/CalcPoint/PWR_FAIL/Status/Calculation","8470889","Calculation","_960ba179-8198-432a-b726-28cc6a987450","_b11cf401-6ae0-40fc-a903-0701c4c85bcf","RealtimeCalculation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pwr_fail","","_1299f0a5-3b62-4082-85d3-169bb506a2b2",".General - SCADA/.Spectrum Formulas/Formula TPC/pwr_fail","if (a<10) and b then 1 else 0","224","4749846","_9022f0a6-2366-4770-950b-9b79a220248c","CalculationRule","4749845","Formula TPC","_9022f0a6-2366-4770-950b-9b79a220248c","_f654f1d7-859d-41d0-bf8e-7ddfe576f84d","CalcConfigSet","4749848","a","_8af01e0c-782d-4973-b7c5-21026ed05a64","_1299f0a5-3b62-4082-85d3-169bb506a2b2","FormalOperand","Network/Companies/TPC/TC/P16/0/CalcPoint/PWR_FAIL/Status/Calculation","7207545","Calculation","_6618a303-665b-4e36-b1d1-40f2dc820679","_2fef818c-6b24-4cd0-a745-0f4961bea8a7","RealtimeCalculation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pwr_fail","","_1299f0a5-3b62-4082-85d3-169bb506a2b2",".General - SCADA/.Spectrum Formulas/Formula TPC/pwr_fail","if (a<10) and b then 1 else 0","224","4749846","_9022f0a6-2366-4770-950b-9b79a220248c","CalculationRule","4749845","Formula TPC","_9022f0a6-2366-4770-950b-9b79a220248c","_f654f1d7-859d-41d0-bf8e-7ddfe576f84d","CalcConfigSet","4749848","a","_8af01e0c-782d-4973-b7c5-21026ed05a64","_1299f0a5-3b62-4082-85d3-169bb506a2b2","FormalOperand","Network/Companies/TPC/TC/P15/0/CalcPoint/PWR_FAIL/Status/Calculation","7199839","Calculation","_635c5543-f319-4330-8cc7-a5eb14131fe5","_b20bfaab-07a2-4d23-a313-cee7dd878267","RealtimeCalculation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pwr_fail","","_1299f0a5-3b62-4082-85d3-169bb506a2b2",".General - SCADA/.Spectrum Formulas/Formula TPC/pwr_fail","if (a<10) and b then 1 else 0","224","4749846","_9022f0a6-2366-4770-950b-9b79a220248c","CalculationRule","4749845","Formula TPC","_9022f0a6-2366-4770-950b-9b79a220248c","_f654f1d7-859d-41d0-bf8e-7ddfe576f84d","CalcConfigSet","4749848","a","_8af01e0c-782d-4973-b7c5-21026ed05a64","_1299f0a5-3b62-4082-85d3-169bb506a2b2","FormalOperand","Network/Companies/TPC/TC/S23/0/CalcPoint/PWR_FAIL/Status/Calculation","7196978","Calculation","_d63f605a-d5f8-4909-ada8-495e5009f336","_5e26a254-63d8-4736-99f4-843c3283fdb6","RealtimeCalculation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pwr_fail","","_1299f0a5-3b62-4082-85d3-169bb506a2b2",".General - SCADA/.Spectrum Formulas/Formula TPC/pwr_fail","if (a<10) and b then 1 else 0","224","4749846","_9022f0a6-2366-4770-950b-9b79a220248c","CalculationRule","4749845","Formula TPC","_9022f0a6-2366-4770-950b-9b79a220248c","_f654f1d7-859d-41d0-bf8e-7ddfe576f84d","CalcConfigSet","4749848","a","_8af01e0c-782d-4973-b7c5-21026ed05a64","_1299f0a5-3b62-4082-85d3-169bb506a2b2","FormalOperand","Network/Companies/TPC/TC/P09/0/CalcPoint/PWR_FAIL/Status/Calculation","7192783","Calculation","_1fbb6ea9-0999-4e7a-a8c3-bfeb58598ae0","_b00bdc62-1bfb-45e0-8f74-7730c8d5573b","RealtimeCalculation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pwr_fail","","_1299f0a5-3b62-4082-85d3-169bb506a2b2",".General - SCADA/.Spectrum Formulas/Formula TPC/pwr_fail","if (a<10) and b then 1 else 0","224","4749846","_9022f0a6-2366-4770-950b-9b79a220248c","CalculationRule","4749845","Formula TPC","_9022f0a6-2366-4770-950b-9b79a220248c","_f654f1d7-859d-41d0-bf8e-7ddfe576f84d","CalcConfigSet","4749848","a","_8af01e0c-782d-4973-b7c5-21026ed05a64","_1299f0a5-3b62-4082-85d3-169bb506a2b2","FormalOperand","Network/Companies/TPC/TC/D35/0/CalcPoint/PWR_FAIL/Status/Calculation","7185368","Calculation","_2afbd5ba-44ac-49d7-aaf5-38d59130af0c","_d6286a71-a1f6-4677-a183-7cbaf8a5a595","RealtimeCalculation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pwr_fail","","_1299f0a5-3b62-4082-85d3-169bb506a2b2",".General - SCADA/.Spectrum Formulas/Formula TPC/pwr_fail","if (a<10) and b then 1 else 0","224","4749846","_9022f0a6-2366-4770-950b-9b79a220248c","CalculationRule","4749845","Formula TPC","_9022f0a6-2366-4770-950b-9b79a220248c","_f654f1d7-859d-41d0-bf8e-7ddfe576f84d","CalcConfigSet","4749848","a","_8af01e0c-782d-4973-b7c5-21026ed05a64","_1299f0a5-3b62-4082-85d3-169bb506a2b2","FormalOperand","Network/Companies/TPC/TC/S85/0/CalcPoint/PWR_FAIL/Status/Calculation","7168894","Calculation","_e2b3f08f-923d-402c-b2ef-9ff6303f4d0b","_10b4c475-83e1-4aae-8361-4a424bad0acd","RealtimeCalculation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pwr_fail","","_1299f0a5-3b62-4082-85d3-169bb506a2b2",".General - SCADA/.Spectrum Formulas/Formula TPC/pwr_fail","if (a<10) and b then 1 else 0","224","4749846","_9022f0a6-2366-4770-950b-9b79a220248c","CalculationRule","4749845","Formula TPC","_9022f0a6-2366-4770-950b-9b79a220248c","_f654f1d7-859d-41d0-bf8e-7ddfe576f84d","CalcConfigSet","4749848","a","_8af01e0c-782d-4973-b7c5-21026ed05a64","_1299f0a5-3b62-4082-85d3-169bb506a2b2","FormalOperand","Network/Companies/TPC/TC/S32/0/CalcPoint/PWR_FAIL/Status/Calculation","7165531","Calculation","_ed6011eb-4c31-4dae-8b88-ecd662301d35","_d7e47710-cce3-40c7-abbb-5e7a3aae3889","RealtimeCalculation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pwr_fail","","_1299f0a5-3b62-4082-85d3-169bb506a2b2",".General - SCADA/.Spectrum Formulas/Formula TPC/pwr_fail","if (a<10) and b then 1 else 0","224","4749846","_9022f0a6-2366-4770-950b-9b79a220248c","CalculationRule","4749845","Formula TPC","_9022f0a6-2366-4770-950b-9b79a220248c","_f654f1d7-859d-41d0-bf8e-7ddfe576f84d","CalcConfigSet","4749848","a","_8af01e0c-782d-4973-b7c5-21026ed05a64","_1299f0a5-3b62-4082-85d3-169bb506a2b2","FormalOperand","Network/Companies/TPC/TC/D88/0/CalcPoint/PWR_FAIL/Status/Calculation","7159498","Calculation","_1d984cca-b1c3-4c16-9591-d519fa94bf26","_14137102-8be9-47da-b029-a2f08a7ca535","RealtimeCalculation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
